PriceTotal,Size,Deposit,OnlineSince,Adress,AmountofIcons,AmountofIconsNeeded,Title_length,LookingFor_length,analysis_det,analysis_desr,analysis_desl,analysis_desli,analysis_deso
670,12,0,1.0,3,3,0,38,338,0.4588,0.0,-0.296,0.8625,0.0772
350,20,600,1.0,4,12,0,48,245,0.0,0.0,0.2023,-0.902,-0.5994
790,11,2200,1.0,3,8,4,42,16,0.0,0.8122,0.3804,0.34,0.0
970,14,2673,1.0,3,7,3,46,16,0.0,-0.9097,-0.9823,0.0,0.0
800,14,2145,1.0,3,12,5,52,16,0.0,-0.5255,-0.9955,0.0,0.0
1050,23,1900,1.0,3,12,5,69,16,0.0,-0.9718,-0.5994,0.0,0.0
599,12,1000,1.0,2,10,0,12,338,0.0,0.2023,0.0,0.0,0.0
930,16,2550,1.0,4,6,3,60,16,0.0,0.1027,0.3254,0.34,0.0
790,10,2250,1.0,2,4,3,35,16,0.0,0.8201,-0.1796,0.0,0.0
1100,17,1900,1.0,3,11,0,104,338,0.4588,-0.9816,-0.6486,-0.8316,0.0
690,10,2070,1.0,2,6,3,17,16,0.0,-0.0516,-0.8445,-0.3506,0.0
855,31,1480,1.0,3,11,2,37,338,0.0,0.0,0.0,-0.918,-0.5994
755,10,1400,1.0,3,11,2,39,338,0.0,-0.9246,0.0,-0.918,0.0
845,11,2000,1.0,2,11,0,88,338,0.0,-0.9755,0.0,-0.9788,0.9962
785,14,2100,1.0,2,11,3,54,16,0.0,-0.5255,-0.9948,0.0,0.0
1150,34,1500,1.0,2,12,6,75,338,0.0,-0.9623,-0.743,0.0,0.0
749,10,1498,1.0,3,12,5,39,16,0.0,0.1779,0.0,0.0,0.0
650,22,650,1.0,80000,13,5,65,286,0.0,-0.8316,0.0,0.0,0.0
815,19,2190,1.0,3,10,3,52,16,0.0,-0.5994,-0.9912,0.0,0.0
770,15,1800,1.0,2,9,0,63,338,0.0,-0.7458,-0.8316,-0.7494,0.0
900,10,0,24.0,3,4,0,78,16,0.0,-0.9823,-0.5994,0.0,0.0
1160,0,1000,168.0,4,4,0,67,16,0.0,0.0,0.0,0.0,-0.9783
1112,108,1668,168.0,2,3,0,27,16,0.0,-0.636,0.0,0.0,-0.9545
990,15,0,24.0,2,4,0,95,16,0.0,-0.9661,-0.8439,0.0,0.0
1220,80,1830,168.0,2,3,0,27,16,0.0,-0.9184,0.0,0.0,-0.9545
770,15,1800,1.0,2,9,0,63,338,0.0,-0.7458,-0.8316,-0.7494,0.0
680,22,1300,1.0,3,5,5,55,338,0.0,0.0,-0.8316,-0.4389,-0.5994
750,15,1800,1.0,4,12,3,108,338,0.0,-0.9485,0.0,0.0,0.0
550,11,1500,1.0,82008,10,5,46,338,0.0,-0.8316,0.0,-0.5994,0.0
750,15,1500,1.0,3,8,3,28,16,0.0,-0.7405,-0.9823,0.0,0.0
925,14,1500,1.0,2,9,5,58,16,0.0,0.9595,0.0,0.0,0.636
860,12,2200,1.0,3,8,2,59,16,0.0,0.9634,-0.1027,0.6988,-0.7037
1150,37,1500,1.0,3,10,0,50,16,0.0,-0.7184,-0.9136,0.0,0.0
715,11,1890,1.0,3,11,3,52,16,0.0,-0.5994,-0.9927,0.0,0.0
795,15,2250,1.0,2,8,6,72,338,0.0,-0.9334,0.2714,0.0,0.0
650,11,800,1.0,2,6,2,37,16,0.0,-0.5423,0.0,0.0,0.0
750,18,1800,1.0,82049,11,2,73,16,0.0,-0.128,0.0,0.0,-0.5994
725,12,1920,1.0,2,11,5,52,16,0.0,-0.5255,-0.9864,0.0,0.0
675,12,1770,1.0,1,10,7,52,16,0.0,-0.5255,-0.9761,0.0,0.0
950,17,950,1.0,3,11,3,44,206,0.0,-0.4588,-0.5423,0.93,-0.3987
737,15,0,1.0,4,8,0,38,338,0.0,-0.5994,-0.4767,0.0,0.0
740,24,1650,1.0,2,8,4,31,286,0.0,-0.8439,0.0,0.0,0.0
1020,87,1530,168.0,4,3,0,27,16,0.0,-0.8439,0.0,0.0,-0.9545
900,10,0,24.0,3,4,0,78,16,0.0,-0.9823,-0.5994,0.0,0.0
1375,0,1000,168.0,4,4,0,67,16,0.0,0.0,0.0,0.0,-0.9783
960,13,0,1.0,3,4,0,63,16,0.0,-0.9823,-0.5994,0.0,0.0
1195,124,1792,168.0,2,3,0,27,16,0.0,-0.636,0.0,0.0,-0.9545
1290,42,2200,1.0,3,12,7,102,338,0.0,-0.8429,-0.9335,-0.5994,-0.9643
1200,34,2500,1.0,3,12,9,161,338,0.0,-0.795,-0.9335,-0.5994,-0.9643
640,16,0,1.0,3,7,4,38,16,0.0,-0.5994,0.5994,-0.8316,0.0
760,15,1500,1.0,3,10,0,101,338,0.4588,0.6808,0.0,0.0,0.0
750,15,1500,1.0,3,9,0,202,338,0.4588,-0.1362,0.0,0.0,0.0
760,12,1500,1.0,2,9,0,141,245,0.4588,-0.8402,0.0,0.0,0.0
650,24,1000,1.0,2,9,0,26,16,0.0,-0.8126,0.0,0.0,0.0
925,19,1900,1.0,3,11,7,143,338,0.0,-0.8257,-0.5994,0.128,-0.8316
795,17,2130,1.0,3,9,3,59,338,0.4588,-0.2263,-0.5994,0.0,0.0
780,12,2100,1.0,2,11,0,76,338,0.0,0.8454,-0.9211,0.4754,0.6246
940,19,1700,1.0,3,11,6,107,338,0.0,-0.8126,-0.6688,-0.5994,-0.5994
750,19,1995,1.0,1,10,5,51,16,0.0,-0.5255,-0.9927,0.0,0.0
650,10,1000,1.0,3,9,0,143,245,0.4588,0.9086,0.0,0.0,0.0
780,16,1500,1.0,3,9,0,164,245,0.4588,0.9086,0.0,0.0,0.0
530,12,730,1.0,3,8,0,59,338,0.0,0.0,-0.9136,0.0,0.0
950,17,1800,1.0,3,12,3,38,338,0.0,0.0,-0.8807,0.0,0.0
490,7,100,1.0,2,10,0,48,338,0.4588,-0.9184,0.0,0.4588,0.0
620,15,900,1.0,3,11,5,28,326,0.0,-0.9451,0.0,0.0,0.0
793,12,1200,1.0,3,8,3,50,338,0.0,-0.9274,-0.8779,0.7184,-0.9136
680,18,1500,1.0,80241,7,2,48,338,0.0,0.0,0.0,0.0,0.0
1025,105,1537,168.0,2,3,0,27,16,0.0,0.0,0.0,0.0,-0.9545
895,95,1342,168.0,2,3,0,27,16,0.0,0.0,0.0,0.0,-0.9545
1080,12,0,192.0,2,4,0,89,16,0.0,-0.9823,-0.5994,0.0,0.0
917,130,1375,168.0,2,3,0,27,16,0.0,0.0,0.0,0.0,-0.9545
1050,14,0,1.0,2,4,0,55,16,0.0,-0.9761,-0.5994,0.0,0.0
1347,140,1000,168.0,4,4,0,50,16,0.0,0.0,0.0,0.0,-0.9783
800,18,1200,1.0,3,9,2,103,338,0.0,-0.855,-0.636,0.0,0.0
680,13,1200,1.0,2,9,3,48,273,0.0,0.9399,0.964,0.9974,0.8376
790,28,2000,1.0,4,10,2,45,326,0.0,-0.8395,0.0,0.0,0.0
820,20,1200,1.0,2,9,3,81,338,0.0,-0.923,-0.9869,-0.6705,-0.5994
715,14,1890,1.0,1,10,7,52,16,0.0,-0.5255,-0.9761,0.0,0.0
798,10,1590,1.0,3,11,3,56,16,0.0,-0.8271,-0.8439,0.0,0.0
900,10,1500,1.0,2,10,5,69,16,0.0,-0.8126,-0.3612,-0.5994,0.0
599,12,1200,1.0,2,11,3,95,338,0.0,-0.9948,0.0,0.0,0.0
775,13,2070,1.0,2,12,5,33,16,0.0,-0.9041,-0.9892,-0.855,0.0
940,20,1500,1.0,2,10,0,66,338,0.0,-0.923,-0.9869,-0.6705,-0.5994
720,14,1440,1.0,3,7,3,31,16,0.4588,-0.5994,-0.8316,-0.5994,-0.5994
690,17,1500,1.0,3,8,0,27,16,0.0,-0.8658,-0.7964,-0.2263,-0.8316
765,16,2040,1.0,2,10,5,52,16,0.0,-0.5255,-0.9661,0.0,0.0
765,11,1300,1.0,2,10,0,57,338,0.0,-0.9186,-0.9869,-0.1531,-0.5994
600,10,500,1.0,4,5,7,17,16,0.0,0.0,0.0,0.0,0.0
770,16,1450,1.0,2,12,4,63,338,0.0,-0.5423,0.0,0.0,0.0
780,18,780,1.0,11111,1,3,36,16,0.0,0.8126,0.0,0.0,0.0
700,16,0,1.0,82067,10,0,44,16,0.0,-0.8316,-0.8316,0.0,0.0
320,11,1000,1.0,3,8,0,73,338,0.0,-0.5374,0.636,-0.5994,0.0
1170,178,1000,168.0,2,4,0,50,16,0.0,0.0,0.0,0.0,-0.9783
930,13,0,24.0,3,4,0,63,16,0.0,-0.9823,-0.5994,0.0,0.0
1254,108,1000,168.0,2,3,0,50,16,0.0,0.0,0.0,0.0,-0.9783
900,13,0,192.0,2,4,0,70,16,0.0,-0.9761,-0.5994,0.0,0.0
1020,87,1530,168.0,4,3,0,27,16,0.0,-0.8439,0.0,0.0,-0.9545
1095,101,1642,168.0,2,3,0,27,16,0.0,-0.5994,0.0,0.0,-0.9545
910,16,1000,1.0,3,12,0,123,338,0.0,-0.8092,0.5994,-0.5994,0.0
765,18,2040,1.0,3,12,5,52,16,0.0,-0.5255,-0.9661,0.0,0.0
750,16,1500,1.0,2,9,6,46,16,0.0,0.3612,0.0,0.5994,0.2023
850,15,0,1.0,3,1,0,69,338,0.0,-0.8977,-0.5994,0.5859,-0.7263
795,11,1500,1.0,2,11,6,51,286,0.0,-0.9661,-0.9485,0.5267,-0.8439
735,10,1950,1.0,3,10,3,84,338,0.4588,-0.9309,-0.8807,0.0,0.0
375,12,945,1.0,4,8,0,97,338,0.0,0.471,-0.2732,-0.9808,-0.9769
755,11,2070,1.0,2,11,7,77,338,0.0,-0.872,-0.9524,0.9228,0.947
750,10,1350,1.0,2,9,5,56,16,0.0,-0.5994,-0.3612,-0.8316,0.0
820,16,1640,1.0,2,9,0,63,16,0.0,0.9844,0.3291,0.8541,0.7639
710,10,1875,1.0,1,12,5,52,16,0.0,-0.5255,-0.9927,0.0,0.0
655,17,515,1.0,2,1,0,41,5,0.0,-0.886,0.0,0.0,0.0
1000,17,3000,1.0,4,11,0,12,338,0.0,-0.9782,-0.9485,-0.296,0.0
750,11,1500,1.0,2,9,5,24,286,0.0,-0.9819,-0.9136,-0.8439,0.0
1200,30,2700,1.0,4,8,5,22,338,0.0,0.9749,0.0,0.0,0.0
800,10,1600,1.0,2,12,5,83,338,0.0,-0.9821,-0.9136,0.0,-0.5994
920,12,1840,1.0,4,9,4,51,338,0.4588,-0.9661,-0.8316,-0.5994,0.0
700,12,1000,1.0,4,13,2,34,338,0.0,-0.9062,0.0,0.0,0.0
835,18,1370,1.0,2,8,6,92,16,0.0,0.3612,0.0,0.0,0.0
750,14,1500,1.0,3,9,0,178,338,0.4588,0.9142,0.0,0.0,0.0
1140,9,0,192.0,2,4,0,76,16,0.0,-0.9661,-0.8439,0.0,0.0
1020,177,1530,168.0,3,3,0,27,16,0.0,0.0,0.0,0.0,-0.9545
1026,68,1539,168.0,4,3,0,27,16,0.0,0.0,0.0,0.0,-0.9545
1010,177,1515,168.0,3,3,0,27,16,0.0,0.0,0.0,0.0,-0.9545
917,130,1375,168.0,2,3,0,27,16,0.0,0.0,0.0,0.0,-0.9545
1050,15,0,24.0,2,4,0,55,16,0.0,-0.9761,-0.5994,0.0,0.0
750,13,1500,1.0,3,9,0,113,245,0.4588,0.1823,0.0,0.0,0.0
750,12,1500,1.0,3,9,0,180,245,0.4588,0.5733,0.0,0.0,0.0
920,12,1840,1.0,4,10,4,49,338,0.4588,0.8965,0.4404,0.7587,0.0
715,10,1890,1.0,1,12,5,52,5,0.0,-0.5255,-0.9864,0.0,0.0
665,16,0,1.0,4,7,3,66,16,0.0,-0.9674,-0.9136,0.0,0.0
330,20,400,1.0,4,8,2,46,245,0.0,-0.875,0.5267,-0.5994,-0.8439
330,21,1000,1.0,4,11,3,37,245,0.0,-0.5267,-0.636,-0.9778,-0.8439
1000,24,0,1.0,4,12,0,73,338,0.0,-0.8591,0.636,-0.5994,0.0
750,15,500,1.0,4,2,2,35,338,0.0,0.6901,0.4215,0.8588,0.743
650,18,1000,1.0,2,7,5,55,338,0.0,-0.9186,-0.5994,0.3382,-0.8316
725,15,1500,1.0,4,11,0,24,338,0.0,0.0,-0.5994,0.5574,0.0
950,18,1900,1.0,4,10,0,56,338,0.0,-0.9037,-0.9776,-0.9829,-0.9619
800,12,1500,1.0,3,8,5,26,338,0.0,0.7579,0.0,0.6369,-0.2023
890,17,890,1.0,81548,10,3,64,338,0.0,-0.9866,-0.5994,0.0,0.555
690,17,690,1.0,2,8,4,37,5,0.0,-0.8481,0.0,0.5574,0.0
720,10,1905,1.0,2,12,5,52,16,0.0,-0.5255,-0.9939,0.0,0.0
565,20,1500,1.0,2,9,0,72,338,0.0,-0.9184,0.0,-0.5994,-0.5994
1080,11,0,192.0,2,4,0,71,16,0.0,-0.9661,-0.9508,0.0,0.0
1195,124,1792,168.0,2,3,0,27,16,0.0,-0.636,0.0,0.0,-0.9545
975,67,1462,168.0,2,3,0,27,16,0.0,0.0,0.0,0.0,-0.9545
1160,103,1000,168.0,4,4,0,67,16,0.0,0.0,0.0,0.0,-0.9783
1080,12,0,192.0,2,4,0,89,16,0.0,-0.9823,-0.5994,0.0,0.0
1231,124,1846,168.0,2,3,0,27,16,0.0,-0.636,0.0,0.0,-0.9545
600,21,1200,1.0,4,6,0,31,338,0.0,0.0,0.5994,0.0,0.4588
770,30,700,1.0,2,7,2,28,16,0.4588,0.9378,0.0,0.0,0.0
630,14,1890,1.0,1,10,0,68,286,0.0,0.0,0.0,0.0,0.0
565,20,0,1.0,2,7,3,41,326,0.0,-0.8316,0.0,0.2732,0.6486
600,15,1000,1.0,4,1,3,39,338,0.0,-0.9467,0.0,0.0,0.0
640,16,50,1.0,82024,10,0,37,16,0.0,-0.8316,-0.5994,-0.8602,0.0
930,21,1980,1.0,3,10,6,169,338,0.0,-0.9474,-0.4738,-0.9661,-0.9508
711,16,1397,1.0,2,10,2,24,286,0.0,-0.9062,-0.8316,0.0,0.5093
395,12,300,1.0,2,2,3,26,338,0.0,0.8074,0.0,0.0,0.0
935,20,1650,1.0,3,12,2,67,16,0.0,-0.5994,-0.8807,0.6166,0.0
850,24,1700,1.0,2,10,0,52,16,0.0,0.5994,0.5994,0.0,0.0
