Url,Title,Size,PriceTotal,Price,ExtraCosts,OtherCosts,Deposit,RedemptionAgreement,DateFree,DateFreeTill,OnlineSince,Adress,Details,LookingFor,AmountofIcons,AmountofIconsNeeded,DescriptionRoom,DescriptionLocation,DescriptionLife,description_other
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Laim.10983807.html,10m² Zimmer in entspannter 4er Wg :),10m²,690€,690€,n.a.,n.a.,1500€,500€,01.06.2024,n.a.,40 Minuten,"Joergstraße 84
                                                                        

                                    80689 München Laim","10m²
                                    
                                    Zimmer in 4er WG
Wohnungsgröße: 120m²
4er WG
                                                                                                                        (
                                            
                                            
                                                                                            3
                                                                                                    Männer
                                                                                            
                                            
                                                                                        )
Bewohneralter: 25 bis 27 Jahre
gemischte WG
Sprache/n:
                                                                                    

                                                                                                            Deutsch,
                                                                                                    


                                                                                                            Englisch,
                                                                                                    


                                                                                                            Italienisch
","Geschlecht egal
                                        
                                        
                                        
                                        
                                                                                                                                    zwischen 23 und 29 Jahren
",6,4,"Hallo du:) 
 Dein neues Zimmer ist angenehme 10m² groß und all die Möbel die du auf den Bildern siehst, sollten für 500€ von dir übernommen werden. Das aller Beste ist, du teilst dir mit einem anderen Mitbewohner ein begehbares Kleidungszimmer, wo du all deine Kleidung hast und verstauen kannst.","Unsere WG ist circa 8 Gehminuten vom Laimer Platz entfernt, wo du alles vorfindet was du brauchst, wie einen Aldi, Rewe, DM eine Apotheke etc. 
 Dort findest du auch direkt die Ubahnstation der U5, mit welcher du in circa 10min beim Hauptbahnhof bist und in 12min am Stachus. Die nächste Bushaltestelle befindet sich circa 4 Gehminuten von unserer WG entfernt :)","Wir sind Francesco, Dan und Kibo :) Unsere Liebe Mitbewohnerin zieht aus, da sie mit ihrem Partner zusammenzieht, daher wird ihr Zimmer nun frei.  
 Alle in der WG sind haben einen festen Vollzeitjob, bedeutet, dass wir uns alle meist nur am Abend sehen. Hin und wieder unternehmen wir was zusammen, aber alles immer ohne Druck und Zwang. Wir sitzen oft abends zusammen in der Küche, quatschen und essen auch gemeinsam:)","Erzähl mir gern etwas über dich, sodass wir schon mla einen ersten Eindruck von dir erhalten. Füg bitte noch das Wort ""Kagebushin"" deiner Nachricht hinzu, sodass wir sicher gehen können, dass du den gesamten Text gelesen hast. Freuen uns dich kennen zu lernen :)"
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Moosach.3207396.html,10qm Zimmer in Doppelhaushälfte,10m²,690€,590€,100€,0€,900€,0€,01.08.2024,n.a.,45 Minuten,"gleißmüllerstr. 9
                                                                        

                                    80992 München Moosach","10m²
                                    
                                    Zimmer in 6er WG
Wohnungsgröße: 125m²
6er WG
                                                                                                                        (
                                                                                            2
                                                                                                    Frauen
                                                                                            
                                                                                            und
                                            
                                                                                            3
                                                                                                    Männer
                                                                                            
                                            
                                                                                        )
Bewohneralter: 20 bis 28 Jahre
Rauchen auf dem Balkon erlaubt
Studenten-WG, Berufstätigen-WG, keine Zweck-WG
Sprache/n:
                                                                                    

                                                                                                            Deutsch,
                                                                                                    


                                                                                                            Englisch
","Mann
                                        
                                        
                                                                                                                                    zwischen 20 und 28 Jahren
",11,2,"Unsere WG hat 6 Zimmer im Grünen und liegt an U-Bahn (U3) S-Bahn (S1), Tramlinie 20 und diversen Bussen. 

 Das Zimmer ist mit Bett, Schrank, Tisch und Stuhl ausgestattet. WC, Bad, kleine Eingangslounge und die große Wohnküche mit Terrasse ist für alle da.  
 Das Zimmer hat 10qm Wohnfläche und ist nach Westen ausgerichtet. 
 Der Bahnhof Moosach ist zu Fuß in ca. 5 Minuten erreichbar.  
 Alle Geschäfte des täglichen Bedarfs in der Nähe.  

 In der Miete in Höhe von 590€ sind die fixen Nebenkosten, Grundsteuer etc. enthalten. Strom, Wasser, Abwasser, Heizung(Gas), Müll und 100MBit-Anschluss werden jeweils monatlich abgerechnet. Je nach Sommer und Winter variieren sie. Im Schnitt ca. 100€.  
 Ausstattung: Vollausgestattete Wohnküche mit Waschmaschine, Trockner und Spülmaschine, 2 Kühlschränke, kleine Fernsehlounge im EG, Terrasse zum Grillen und Chillen.......  

 Gesucht wird ein Mitbewohner der zwar eigenständig, aber dennoch kommunikativ ist.  

 Bei Interesse melden, lg",n.a.,n.a.,n.a.
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Sendling-Westpark.11009000.html,Helles Zimmer in 4-er WG,17m²,755€,755€,n.a.,n.a.,n.a.,n.a.,01.07.2024,n.a.,45 Minuten,"Holsteiner Straße
                                                                        

                                    81377 München Sendling-Westpark","17m²
                                    
                                    Zimmer in 4er WG
4er WG
                                                                                                                        (
                                                                                            2
                                                                                                    Frauen
                                                                                            
                                                                                            und
                                            
                                                                                            1
                                                                                                    Mann
                                                                                            
                                            
                                                                                        )
Bewohneralter: 23 bis 29 Jahre
Studenten-WG, Berufstätigen-WG, gemischte WG
","Geschlecht egal
",5,3,"Hey, 
 leider muss ich Ende Juni aus meiner WG ausziehen und suche eine*n Nachmieter*in zum 01.07. 

 Das 17 qm große Zimmer hat ein großes Fenster mit schönem Parkettboden.  
 Die moderne Wohnung ist voll ausgestattet mit Spülmaschine, einem renovierten Bad mit Fenster und einer Waschmaschine im eigenen Kellerabteil. Im Haus befindet sich ebenfalls ein Fahrradkeller und im Innenhof gibt es einen gemeinschaftlichen Garten mit Sitzmöglichkeiten.","Die Wohnung befindet sich direkt am Südpark und ist 10 min mit dem Fahrrad vom Westpark entfernt.  
 Einkaufsmöglichkeiten wie Edeka, Netto und verschiedene Bäckerein sind innerhalb weniger Minuten zu Fuß erreichbar, genauso wie die Buslinien 51, 151 und 54 zu den U-Bahnen U3, U5 und U6.","Die WG ist nicht als Zweck-Wg angedacht, sondern wir sitzen gerne abends mal zum Quatschen in der Küche oder unternehmen auch mal was am Wochenende. Im Sommer grillen wir gerne zusammen bei uns im Innenhof, aber das ist natürlich absolut kein muss, jeder so wie er mag und gerade Lust hat.  

 Deine neuen Mitbewohner wären Rebecca, die gerade ihren Doktor in Neurowissenschaften macht, Kathi, Medizinstudentin und Martin, der in einer Laserfirma ein bisschen außerhalb von München arbeitet.","Im Zimmer steht ein schöner und geräumiger Kleiderschrank, der gegen eine kleine Ablöse übernommen werden muss. 

 Der Vermieter benötigt folgende Unterlagen: Schufa (jetzt beantragen) , die letzen drei Einkommensnachweise und eine Bürgschaft deiner Eltern, wenn du Student*in bist.  

 Wir freuen uns auf deine Nachricht!"
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen.11005071.html,2er Studenten WG. Wohnen neben der Uni. Netter Mitbewohner/Mitbewohnerin gesucht :),10m²,850€,750€,100€,n.a.,n.a.,0€,15.06.2024,n.a.,46 Minuten,"Schellingstraße 21
                                                                        

                                    80799 München","10m²
                                    
                                    Zimmer in 2er WG
Wohnungsgröße: 49m²
2er WG
                                                                                                                        (
                                            
                                            
                                                                                            1
                                                                                                    Mann
                                                                                            
                                            
                                                                                        )
Bewohneralter: ab 23 Jahre
Studenten-WG, keine Zweck-WG
Sprache/n:
                                                                                    

                                                                                                            Deutsch
","Geschlecht egal
                                        
                                        
                                        
                                        
                                                                                                                                    zwischen 18 und 27 Jahren
",2,n.a.,"Bitte beachte: 
 Das Zimmer ist rein von der für dich verfügbaren Bodenfläche her eigentlich sogar noch größer (11,87qm) aber wir sind ja im Dachgeschoss und wegen der Dachschräge muss man diese Zahl umrechnen (9,87qm). 

 WG-Gesucht lässt in den Angaben zum Zimmer keine Nachkommastellen zu, deswegen hab ich einfach 10qm angegeben. 

 Mein Mitbewohner wird voraussichtlich alles aus seinem Zimmer mitnehmen, d.h. keine teure Ablöse für gebrauchte Möbel :)","In einem Umkreis von ca. 200m Luftlinie hast du: 

 - Die Uni 
 - Edeka / Netto / Bäcker / Apotheke 
 - So ziemlich alle Bars und Restaurants (+Münchner Freiheit ist 2 Stationen entfernt) 

 - Die Clubs am Stachus erreichst du in 10 Minuten mit der Tram 

 - In ca. 10 Minuten zu Fuß stehst du entweder im Englischen Garten oder an den Pinakotheken, was dir lieber ist.","Was ich auf keinen Fall will ist ne Zweck-WG, in der am Ende jeder 24/7 in seinem Zimmer hockt und man eigentlich kaum miteinander redet. 

 Ich lege grds. großen Wert auf ein freundschaftliches Zusammenleben. Ich suchen nach jemandem, der auch Interesse an gemeinschaftlichen Unternehmungen und gemütlichen WG Abenden hat. WG-Life soll ja spaß machen  

 Haustiere sind übrigens sehr willkommen, mein jetziger Mitbewohner nimmt seinen Hund und seine Katze leider mit :( 

 Über mich:  
 Ich bin Toran, 23 Jahre alt, komme aus Berlin und studiere an der LMU 

 Ich mach relativ viel Sport, ich geh gern Wandern, gehe gerne mit Freunden aus, höre viel Musik und ich koch auch voll gerne. Bist natürlich zu allen Aktivitäten herzlich eingeladen :)  

 Ich würd mich selber als sehr lockeren Menschen beschreiben und mich freuen, wenn du ähnlich drauf bist. 

 Ansonsten würd ich sagen komm einfach vorbei und schau's dir selbst an :)","Schreib mir einfach über wg-gesucht ein paar Zeilen wer du bist, was du machst, wie du drauf bist und vllt was du dir vorstellst und ich versuch schnellstmöglich zu antworten."
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Maxvorstadt.11005484.html,"Zimmer zu vermieten in 4-Zimmer-Wohnung in der Maxvorstadt, München",103m²,1160€,1160€,n.a.,n.a.,1000€,n.a.,16.05.2024,n.a.,46 Minuten,"Heßstraße
                                                                        

                                    80798 München Maxvorstadt","103m²
                                    
                                    Zimmer in 2er WG
Wohnungsgröße: 104m²
2er WG
keine Zweck-WG
","Geschlecht egal
",4,n.a.,"Zimmer zu vermieten in 4-Zimmer-Wohnung in der Maxvorstadt, München",munich,n.a.,"**Dieser Vermieter akzeptiert keine Studenten!!** 

 ​ 

 - Anmeldung möglich 
 - Check-in-Zeit auf Anfrage 
 - Wichtig: Eine **Vorauszahlung des letzten Monats** sowie die **Kaution** werden **vor dem Check-in** an den Vermieter überwiesen. 
 - Kein Check-in an Wochenenden oder Feiertagen, bitte mit dem Vermieter absprechen! 

 ​ 

 _Bitte beachten Sie, dass Spotahome eine Online-Buchungsplattform ist. Daher ist der Austausch von Kontaktdaten und das Anbieten von Besichtigungen nicht möglich. Wenn Sie diese Unterkunft reservieren möchten, können Sie eine Buchungsanfrage stellen. Nachdem der Vermieter Ihre Buchungsanfrage angenommen hat, sendet er Ihnen innerhalb von 1-2 Tagen eine Einladung zu einem Telefonat, um die nächsten Schritte zu besprechen. Nach dem Telefonat können Sie den Mietvertrag digital und sicher unterzeichnen. Bitte beachten Sie, dass die Buchung erst abgeschlossen ist, wenn der Mietvertrag unterzeichnet und die erste Zahlung geleistet wurde._ 

 _Als Mitglied dieser Co-Living-Community erhalten Sie Zugang zu einem größeren Netzwerk junger Berufstätiger, die in ihren Wohnungen in ganz Europa (Kopenhagen, Berlin, München, Paris, London usw.) leben. Mitglieder genießen gemeinsame Veranstaltungen und sogar die Möglichkeit eines vorübergehenden Zimmertauschs mit Mitgliedern in anderen Städten._ 

 ​"
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Neuhausen-Nymphenburg.10979833.html,WG NEUGRÜNDUNG SUPER ZENTRAL,18m²,900€,825€,75€,0€,1500€,n.a.,09.06.2024,n.a.,48 Minuten,"Maria-Luiko-Straße 30
                                                                        

                                    80636 München Neuhausen-Nymphenburg","18m²
                                    
                                    Zimmer in 3er WG
Wohnungsgröße: 70m²
3er WG
Rauchen auf dem Balkon erlaubt
Zweck-WG, Studenten-WG, Berufstätigen-WG, keine Zweck-WG, gemischte WG
Sprache/n:
                                                                                    

                                                                                                            Englisch,
                                                                                                    


                                                                                                            Deutsch
","Geschlecht egal
",10,4,"Du bist auf der Suche nach einem stylisch voll möbliertem WG Zimmer? Dann haben wir genau das Richtige für dich! 

 Die stylisch neu möblierte Wohnung befindet sich im Herzen von München. Eine riesige Auswahl an Shopping und Einkaufsmöglichkeiten, Sportangeboten und Unterhaltung, stehen dir direkt vor der Haustür zur Verfügung.  

 Die öffentliche Anbindung ist die Haltestelle Fasaneriestraße (Bus/Tram), außerdem fußläufig zu erreichen in 5 Minuten ist die Haltestelle Leonrodplatz (Bus/Tram). Von hier aus bist du mit der Tram in 10 Minuten am Hauptbahnhof oder in 15 Minuten am Marienplatz. 

 Alle Zimmer sind komplett möbliert und alles was auf den Bildern zu sehen ist, gehört dazu. 
 Du brauchst also nur deinen Koffer schnappen und einziehen! 


 Die Mieten der Zimmer sind wie folgt: 

 Zimmer 1 ~ 11,5qm 825€ kalt + 75€ Nebenkosten. 
 Zimmer 2 ~ 11,5qm 825€ kalt + 75€ Nebenkosten. 
 Zimmer 3 ~ vermietet 

 Sei der erste und nutze den Vorteil, mit über deine zukünftigen Mitbewohner zu entscheiden. 
 Solltest du direkt mit zwei weiteren Freunden einziehen wollen, haben wir ein Angebot für dich! 

 Wir freuen uns über deine Nachricht.  

 Kontaktiere uns gerne auch auf WhatsApp. 

 Telefon: (siehe Kontaktinformationen) 

 Ein aktueller Energieausweis ist vorhanden. 
 Zur Verfügung steht dir außerdem ein Kellerraum. 
 Mindestmietdauer 6 Monate, Langzeitmieter werden bevorzugt. 
 Bitte bereite vorab Gehaltsnachweise oder Bürgschaft und eine Mieterselbstauskunft vor. 

 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 

 Are you looking for a stylish, fully furnished shared room? Then we have exactly the right thing for you! 

 The stylishly newly furnished apartment is located in the heart of Munich. A huge selection of shopping options, sports and entertainment are available right on your doorstep. 

 The public connection is the Infanteriestraße stop (bus/tram), and the Leonrodplatz stop (bus/tram) is also within walking distance in 5 minutes. From here you can take the tram to the main station in 10 minutes or to Marienplatz in 15 minutes. 

 All rooms are fully furnished and everything that can be seen in the pictures is included. 
 So all you have to do is grab your suitcase and move in! 


 The rents of the rooms are as follows: 

 Room 1 ~ 11.5sqm 825€ cold + 75€ additional costs. 
 Room 2 ~ 11.5sqm 825€ cold + 75€ additional costs. 
 Room 3 ~ rented 


 Be the first and take advantage of having a say in your future roommates. 
 If you want to move in straight away with two other friends, we have an offer for you! 

 We look forward to your message. 

 Feel free to contact us on WhatsApp. 

 Phone: (siehe Kontaktinformationen) 

 A current energy certificate is available. 
 There is also a cellar room at your disposal. 
 Minimum rental period 6 months, long-term tenants are preferred. 
 Please prepare proof of salary or guarantee and a tenant self-assessment in advance.","Die öffentliche Anbindung ist die Haltestelle Infanteriestraße (Bus/Tram), außerdem fußläufig zu erreichen in 5 Minuten ist die Haltestelle Leonrodplatz (Bus/Tram). Von hier aus bist du mit der Tram in 10 Minuten am Hauptbahnhof oder in 15 Minuten am Marienplatz.",Aktuel ist nur 1 Mann in der WG.,n.a.
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Feldmoching-Hasenbergl.11001914.html,WG NEUGRÜNDUNG OLYMPIA PARK,15m²,825€,750€,75€,n.a.,1500€,n.a.,01.07.2024,n.a.,48 Minuten,"Lassallestraße 83
                                                                        

                                    80995 München Feldmoching-Hasenbergl","15m²
                                    
                                    Zimmer in 4er WG
Wohnungsgröße: 76m²
4er WG
                                                                                                                        (
                                            
                                            
                                                                                            1
                                                                                                    Mann
                                                                                            
                                            
                                                                                        )
Zweck-WG, Studenten-WG, Frauen-WG, Berufstätigen-WG, keine Zweck-WG, gemischte WG
Sprache/n:
                                                                                    

                                                                                                            Deutsch,
                                                                                                    


                                                                                                            Englisch
","Geschlecht egal
",10,4,"Du bist auf der Suche nach einem stylisch voll möbliertem WG Zimmer? Dann haben wir genau das Richtige für dich! 

 Eine riesige Auswahl an Shopping und Einkaufsmöglichkeiten, Sportangeboten und Unterhaltung, stehen dir direkt vor der Haustür zur Verfügung. Der Olympiapark, sowie der das Olympia Einkaufszentrum sind auch in unmittelbarer nähe.  

 Diese Wohnung ist eine vollständig renovierte WG Neugründung. Alle Zimmer sind voll möbliert ausgestattet (siehe Bilder). 
 Du musst nur deinen Koffer schnappen und einziehen!  

 Die öffentliche Anbindung ist super. Die nächste Haltestelle Himmelschlüsselstraße (Bus) ist fußläufig in 3 Minuten zu erreichen und der S-Bahnhof Fasanerie in 10 Minuten. Parkplätze sind vor der Tür ausreichend vorhanden. 

 Mietpreise: 

 Zimmer 1 ~ 10,0qm 750 Euro + 75 Euro Nebenkosten. 
 Zimmer 2 ~ 10,5qm plus Balkon 775 Euro + 75€ Nebenkosten. 
 Zimmer 3 ~ 19,0qm 775 Euro + 75€ Nebenkosten. 
 Zimmer 4 ~ vermietet 

 Sei der erste und nutze den Vorteil, mit über deine zukünftigen Mitbewohner zu entscheiden. 
 Solltest du direkt mit mehreren Freunden einziehen wollen, haben wir ein Angebot für dich! 

 Diese Wohnung befindet sich aktuell in der Renovierungsphase, damit wir dir ein wunderschönes neues Zuhause gestalten. Daher gibt es nur einen Grundriss, welcher dir detailgetreu die Aufteilung der Wohnung und die Einrichtung zeigt. 

 Wir freuen uns über deine Nachricht! 

 Gerne kannst du uns auch auf WhatsApp kontaktieren. 

 Telfon: (siehe Kontaktinformationen) 

 Ein aktueller Energieausweis ist vorhanden.  
 Zur Verfügung steht dir außerdem ein Kellerraum. 
 Mindestmietdauer 6 Monate, Langzeitmieter werden bevorzugt. 
 Bitte bereite vorab Gehaltsnachweise oder eine Bürgschaft und eine Mieterselbstauskunft vor. 

 ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 

 Are you looking for a stylish, fully furnished shared room? Then we have exactly the right thing for you! 

 A huge selection of shopping options, sports and entertainment are available right on your doorstep. The Olympic Park and the Olympia shopping center are also in the immediate vicinity. 

 This apartment is a completely renovated new shared apartment. All rooms are fully furnished (see pictures). 
 All you have to do is grab your suitcase and move in! 

 The public connection is great. The next stop, Himmel Schlüsselstraße (bus), can be reached on foot in 3 minutes and the S-Bahn station Fasanerie in 10 minutes. There are enough parking spaces in front of the door. 

 Rental prices: 

 Room 1 ~ 10.0 sqm 750 euros + 75 euros additional costs. 
 Room 2 ~ 10.5 sqm plus balcony 775 euros + 75€ additional costs. 
 Room 3 ~ 19.0 sqm 775 euros + 75€ additional costs. 
 Room 4 ~ rented 

 Be the first and take advantage of having a say in your future roommates. 
 If you want to move in with several friends, we have an offer for you! 

 This apartment is currently in the renovation phase so that we can create a beautiful new home for you. Therefore, there is only one floor plan that shows you the layout of the apartment and the furnishings in detail. 

 We look forward to your message! 

 You are also welcome to contact us on WhatsApp. 

 Phone: (siehe Kontaktinformationen) 

 A current energy certificate is available. 
 There is also a cellar room at your disposal. 
 Minimum rental period 6 months, long-term tenants are preferred. 
 Please prepare salary slips or a guarantee and a tenant self-assessment in advance.","Lassallestraße 83, 80995 München",Es handelt sich um eine WG Neugründung.,WG NEUGRÜNDUNG
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-80686.10982509.html,WG NEUGRÜNDUNG ZENTRAL LAIMER PLATZ,15m²,800€,725€,75€,n.a.,1500€,n.a.,16.05.2024,n.a.,48 Minuten,"Ossietzkystraße 11
                                                                        

                                    80686 München 80686","15m²
                                    
                                    Zimmer in 5er WG
Wohnungsgröße: 79m²
5er WG
                                                                                                                        (
                                            
                                            
                                                                                            1
                                                                                                    Mann
                                                                                            
                                            
                                                                                        )
Rauchen auf dem Balkon erlaubt
Zweck-WG, Studenten-WG, Berufstätigen-WG, keine Zweck-WG, gemischte WG
Sprache/n:
                                                                                    

                                                                                                            Deutsch,
                                                                                                    


                                                                                                            Englisch
","Geschlecht egal
",10,3,"Du bist auf der Suche nach einem stylisch voll möbliertem WG Zimmer? Dann haben wir genau das Richtige für dich! 

 Die stylisch neu möblierte Wohnung befindet sich im Herzen von München. Eine riesige Auswahl an Shopping und Einkaufsmöglichkeiten, Sportangeboten und Unterhaltung, stehen dir direkt vor der Haustür zur Verfügung.  

 Die öffentliche Anbindung ist die Haltestelle Laimerplatz (Bus/Tram/U-Bahn). Von hier aus bist du in 10 Minuten am Hauptbahnhof. 

 Alle Zimmer sind komplett möbliert und alles was auf den Bildern zu sehen ist, gehört zum Inventar.  
 Du brauchst also nur deinen Koffer schnappen und einziehen! 

 Die Mieten der Zimmer sind wie folgt: 

 Zimmer 1 ~ 10qm 725€ kalt + 75€ Nebenkosten. 
 Zimmer 2 ~  vermietet  
 Zimmer 3 ~ 10qm 725€ kalt + 75€ Nebenkosten. 
 Zimmer 4 ~ 12qm 750€ kalt + 75€ Nebenkosten. 
 Zimmer 5 ~ vermietet 

 Sei der erste und nutze den Vorteil, über deine zukünftigen Mitbewohner zu entscheiden. 
 Solltest du direkt mit vier weiteren Freunden einziehen wollen, haben wir ein Angebot für dich! 

 Wir freuen uns über deine Nachricht. 

 Schreib uns gerne auch direkt auf WhatsApp. 

 Telfon: (siehe Kontaktinformationen) 

 Ein aktueller Energieausweis ist vorhanden. 
 Zur Verfügung steht dir außerdem ein Kellerraum. 
 Mindestmietdauer 6 Monate, Langzeitmieter werden bevorzugt. 
 Bitte bereite vorab Gehaltsnachweise oder Bürgschaft und eine Mieterselbstauskunft vor. 

 --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
 Are you looking for a stylish, fully furnished shared room? Then we have exactly the right thing for you! 

 The stylishly newly furnished apartment is located in the heart of Munich. A huge selection of shopping options, sports and entertainment are available right on your doorstep. 

 The public connection is the Laimerplatz stop (bus/tram/subway). From here you can get to the main train station in 10 minutes. 

 All rooms are fully furnished and everything that can be seen in the pictures is included. 
 So all you have to do is grab your suitcase and move in! 

 The rents of the rooms are as follows: 

 Room 1 ~ 10sqm 725€ cold + 75€ additional costs. 
 Room 2 ~ rented 
 Room 3 ~ 10sqm 725€ cold + 75€ additional costs. 
 Room 4 ~ 12sqm 750€ cold + 75€ additional costs. 
 Room 5 ~ rented. 

 Be the first and take advantage of having a say in your future roommates. 
 If you want to move in straight away with four other friends, we have an offer for you! 

 We look forward to your message. 

 Feel free to write to us directly on WhatsApp. 

 Phone: (siehe Kontaktinformationen) 

 A current energy certificate is available. 
 There is also a cellar room at your disposal. 
 Minimum rental period 6 months, long-term tenants are preferred. 
 Please prepare proof of salary or guarantee and a tenant self-assessment in advance.",Die öffentliche Anbindung ist die Haltestelle Laimerplatz (Bus/Tram/U-Bahn). Von hier aus bist du in 10 Minuten am Hauptbahnhof.,Aktuell lebt nur 1 Mann in der WG.,n.a.
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Maxvorstadt.11005483.html,"Zimmer zu vermieten in 4-Zimmer-Wohnung in der Maxvorstadt, München",113m²,1325€,1325€,n.a.,n.a.,1000€,n.a.,16.05.2024,n.a.,57 Minuten,"Heßstraße 74
                                                                        

                                    80798 München Maxvorstadt","113m²
                                    
                                    Zimmer in 2er WG
Wohnungsgröße: 114m²
2er WG
keine Zweck-WG
","Geschlecht egal
",4,n.a.,"Zimmer zu vermieten in 4-Zimmer-Wohnung in der Maxvorstadt, München",munich,n.a.,"**Dieser Vermieter akzeptiert keine Studenten!!** 

 ​ 

 - Anmeldung möglich 
 - Check-in-Zeit auf Anfrage 
 - Wichtig: Eine **Vorauszahlung des letzten Monats** sowie die **Kaution** werden **vor dem Check-in** an den Vermieter überwiesen. 
 - Kein Check-in an Wochenenden oder Feiertagen, bitte mit dem Vermieter absprechen! 

 ​ 

 _Bitte beachten Sie, dass Spotahome eine Online-Buchungsplattform ist. Daher ist der Austausch von Kontaktdaten und das Anbieten von Besichtigungen nicht möglich. Wenn Sie diese Unterkunft reservieren möchten, können Sie eine Buchungsanfrage stellen. Nachdem der Vermieter Ihre Buchungsanfrage angenommen hat, sendet er Ihnen innerhalb von 1-2 Tagen eine Einladung zu einem Telefonat, um die nächsten Schritte zu besprechen. Nach dem Telefonat können Sie den Mietvertrag digital und sicher unterzeichnen. Bitte beachten Sie, dass die Buchung erst abgeschlossen ist, wenn der Mietvertrag unterzeichnet und die erste Zahlung geleistet wurde._ 

 _Als Mitglied dieser Co-Living-Community erhalten Sie Zugang zu einem größeren Netzwerk junger Berufstätiger, die in ihren Wohnungen in ganz Europa (Kopenhagen, Berlin, München, Paris, London usw.) leben. Mitglieder genießen gemeinsame Veranstaltungen und sogar die Möglichkeit eines vorübergehenden Zimmertauschs mit Mitgliedern in anderen Städten._ 

 ​"
https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Maxvorstadt.9272407.html,Ansprechendes möbliertes Zimmer in saniertem Studentenwohnheim neben der LMU,30m²,1450€,1450€,0€,0€,4350€,n.a.,16.05.2024,n.a.,58 Minuten,"Franz-Joseph-Straße 9a
                                                                        

                                    80801 München Maxvorstadt","30m²
                                    
                                    Zimmer in 15er WG
15er WG
                                                                                                                        (
                                                                                            5
                                                                                                    Frauen
                                                                                            
                                                                                            und
                                            
                                                                                            6
                                                                                                    Männer
                                                                                            
                                            
                                                                                        )
Rauchen auf dem Balkon erlaubt
Studenten-WG, Berufstätigen-WG, gemischte WG
Sprache/n:
                                                                                    

                                                                                                            Deutsch,
                                                                                                    


                                                                                                            Englisch
","Geschlecht egal
                                        
                                        
                                        
                                        
                                                                                                                                    zwischen 18 und 40 Jahren
",10,n.a.,"Das helle Zimmer befindet sich im Erdgeschoss eines zweistöckigen sanierten Altbaus der sich in unmittelbarer Nähe zur LMU befindet.  
 Ausgestattet ist das vollmöblierte Zimmer mit Boxspringbett, Schreibtisch, Schreibtischstuhl, Kleiderschrank, Lampen und Sessel. 
 Durch die große Fensterfront fällt viel Licht in den Raum und lässt das Zimmer hell und freundlich wirken.  
 Neben dem Zimmer befindet sich ein großes Badezimmer mit Glasdusche. 
 Dem Mieter stehen Handtücher, Bettwäsche, Kissen und Decken zur Verfügung. 

 Das Objekt verfügt über zwei große Gemeinschaftsküchen und ein helles gemeinschaftliches Wohnzimmer im Erdgeschoss mit Zugang zur großen Terrasse und dem angerenzenden weitläufigen Gartenbereich.","Das renovierte Wohnhaus liegt absolut ruhig und zentral in Schwabing.  Das Objekt befindet sich in einem Innenhof der Franz-Josef-Straße in unmittelbarer Nähe der Ludwig-Maximilian Universität und nahe zu dem Englischen Garten.  
 Durch die direkte Anbindung an die Leopoldstraße ist man innerhalb wenigen Minuten zu Fuß an der U-Bahnhaltestelle Giselastraße, somit ist eine optimale Verkehrsanbindung zur Innenstadt gegeben. Geschäfte des täglichen Bedarfes, Supermärkte, Lebensmittel- und Fachgeschäfte, Boutiquen, Gaststätten, Cafés, Bars etc. sind in der direkten Umgebung ebenso vorhanden wie auch Arztpraxen, Apotheken und Sportstätten.","Da sich die Immobilie in unmittelbarer Nähe zu der LMU befindet ist sie optimal für Studenten geeigenet. 
 Dennoch können die Zimmer auch an Personen in einem Arbeitsverhältnis vermietet werden.","Die Immobilie wird aktuell zu einem modernen Studentenwohnheim umgebaut und verfügt über 14 unterschiedliche Zimmer die sich auf drei Ebenen verteilen. 
 Alle Räumlichkeiten werden vollmöbliert zur Vermietung angeboten. 
 Teileweise besitzen die modernen Studentenzimmer ein eigenes oder ein großzügiges gemeinschaftliches Badezimmer. Zwei Räume verfügen zudem über einen sonnigen Balkon. 
 Im Haus gibt es zwei große Küchen die von der Gemeinschaft genutzt werden können. 
 Das Objekt bietet mehrere Gemeinschaftsräume die zum gemeinsamen Verweilen einladen. Im Erdgeschoss liegt ein Wohnzimmer das den Studenten zur Verfügung steht, von hier hat man direkten Zugang zur Terrasse und weiter in den Garten. 

 Ein absolutes Highlight des Studentenwohnheimes ist die wunderschön eingewachsene Gartenanlage. Sie verfügt über mehrere Sitzbereiche sowie einen kleinen Teich. 

 Auf Wunsch kann ein Stellplatz vor dem Haus angemietet werden."
