Size,PriceTotal,Deposit,OnlineSince,Adress,AmountofIcons,AmountofIconsNeeded,Titel_length,analysis_det,analysis_desr,analysis_desl,analysis_deso
12,670,0,1.0,3,3,0,38,0.4588,0.0,0.8625,0.0772
20,350,600,1.0,4,12,0,48,0.0,0.0,-0.902,-0.5994
11,790,2200,1.0,3,8,4,42,0.0,0.8122,0.34,0.0
14,970,2673,1.0,3,7,3,46,0.0,-0.9097,0.0,0.0
14,800,2145,1.0,3,12,5,52,0.0,-0.5255,0.0,0.0
23,1050,1900,1.0,3,12,5,69,0.0,-0.9718,0.0,0.0
12,599,1000,1.0,2,10,0,12,0.0,0.2023,0.0,0.0
16,930,2550,1.0,4,6,3,60,0.0,0.1027,0.34,0.0
10,790,2250,1.0,2,4,3,35,0.0,0.8201,0.0,0.0
17,1100,1900,1.0,3,11,0,104,0.4588,-0.9816,-0.8316,0.0
10,690,2070,1.0,2,6,3,17,0.0,-0.0516,-0.3506,0.0
31,855,1480,1.0,3,11,2,37,0.0,0.0,-0.918,-0.5994
10,755,1400,1.0,3,11,2,39,0.0,-0.9246,-0.918,0.0
11,845,2000,1.0,2,11,0,88,0.0,-0.9755,-0.9788,0.9962
14,785,2100,1.0,2,11,3,54,0.0,-0.5255,0.0,0.0
34,1150,1500,1.0,2,12,6,75,0.0,-0.9623,0.0,0.0
10,749,1498,1.0,3,12,5,39,0.0,0.1779,0.0,0.0
22,650,650,1.0,80000,13,5,65,0.0,-0.8316,0.0,0.0
19,815,2190,1.0,3,10,3,52,0.0,-0.5994,0.0,0.0
15,770,1800,1.0,2,9,0,63,0.0,-0.7458,-0.7494,0.0
10,900,0,24.0,3,4,0,78,0.0,-0.9823,0.0,0.0
0,1160,1000,168.0,4,4,0,67,0.0,0.0,0.0,-0.9783
108,1112,1668,168.0,2,3,0,27,0.0,-0.636,0.0,-0.9545
15,990,0,24.0,2,4,0,95,0.0,-0.9661,0.0,0.0
80,1220,1830,168.0,2,3,0,27,0.0,-0.9184,0.0,-0.9545
15,770,1800,1.0,2,9,0,63,0.0,-0.7458,-0.7494,0.0
22,680,1300,1.0,3,5,5,55,0.0,0.0,-0.4389,-0.5994
15,750,1800,1.0,4,12,3,108,0.0,-0.9485,0.0,0.0
11,550,1500,1.0,82008,10,5,46,0.0,-0.8316,-0.5994,0.0
15,750,1500,1.0,3,8,3,28,0.0,-0.7405,0.0,0.0
14,925,1500,1.0,2,9,5,58,0.0,0.9595,0.0,0.636
12,860,2200,1.0,3,8,2,59,0.0,0.9634,0.6988,-0.7037
37,1150,1500,1.0,3,10,0,50,0.0,-0.7184,0.0,0.0
11,715,1890,1.0,3,11,3,52,0.0,-0.5994,0.0,0.0
15,795,2250,1.0,2,8,6,72,0.0,-0.9334,0.0,0.0
11,650,800,1.0,2,6,2,37,0.0,-0.5423,0.0,0.0
18,750,1800,1.0,82049,11,2,73,0.0,-0.128,0.0,-0.5994
12,725,1920,1.0,2,11,5,52,0.0,-0.5255,0.0,0.0
12,675,1770,1.0,1,10,7,52,0.0,-0.5255,0.0,0.0
17,950,950,1.0,3,11,3,44,0.0,-0.4588,0.93,-0.3987
15,737,0,1.0,4,8,0,38,0.0,-0.5994,0.0,0.0
24,740,1650,1.0,2,8,4,31,0.0,-0.8439,0.0,0.0
87,1020,1530,168.0,4,3,0,27,0.0,-0.8439,0.0,-0.9545
10,900,0,24.0,3,4,0,78,0.0,-0.9823,0.0,0.0
0,1375,1000,168.0,4,4,0,67,0.0,0.0,0.0,-0.9783
13,960,0,1.0,3,4,0,63,0.0,-0.9823,0.0,0.0
124,1195,1792,168.0,2,3,0,27,0.0,-0.636,0.0,-0.9545
42,1290,2200,1.0,3,12,7,102,0.0,-0.8429,-0.5994,-0.9643
34,1200,2500,1.0,3,12,9,161,0.0,-0.795,-0.5994,-0.9643
16,640,0,1.0,3,7,4,38,0.0,-0.5994,-0.8316,0.0
15,760,1500,1.0,3,10,0,101,0.4588,0.6808,0.0,0.0
15,750,1500,1.0,3,9,0,202,0.4588,-0.1362,0.0,0.0
12,760,1500,1.0,2,9,0,141,0.4588,-0.8402,0.0,0.0
24,650,1000,1.0,2,9,0,26,0.0,-0.8126,0.0,0.0
19,925,1900,1.0,3,11,7,143,0.0,-0.8257,0.128,-0.8316
17,795,2130,1.0,3,9,3,59,0.4588,-0.2263,0.0,0.0
12,780,2100,1.0,2,11,0,76,0.0,0.8454,0.4754,0.6246
19,940,1700,1.0,3,11,6,107,0.0,-0.8126,-0.5994,-0.5994
19,750,1995,1.0,1,10,5,51,0.0,-0.5255,0.0,0.0
10,650,1000,1.0,3,9,0,143,0.4588,0.9086,0.0,0.0
16,780,1500,1.0,3,9,0,164,0.4588,0.9086,0.0,0.0
12,530,730,1.0,3,8,0,59,0.0,0.0,0.0,0.0
17,950,1800,1.0,3,12,3,38,0.0,0.0,0.0,0.0
7,490,100,1.0,2,10,0,48,0.4588,-0.9184,0.4588,0.0
15,620,900,1.0,3,11,5,28,0.0,-0.9451,0.0,0.0
12,793,1200,1.0,3,8,3,50,0.0,-0.9274,0.7184,-0.9136
18,680,1500,1.0,80241,7,2,48,0.0,0.0,0.0,0.0
105,1025,1537,168.0,2,3,0,27,0.0,0.0,0.0,-0.9545
95,895,1342,168.0,2,3,0,27,0.0,0.0,0.0,-0.9545
12,1080,0,192.0,2,4,0,89,0.0,-0.9823,0.0,0.0
130,917,1375,168.0,2,3,0,27,0.0,0.0,0.0,-0.9545
14,1050,0,1.0,2,4,0,55,0.0,-0.9761,0.0,0.0
140,1347,1000,168.0,4,4,0,50,0.0,0.0,0.0,-0.9783
18,800,1200,1.0,3,9,2,103,0.0,-0.855,0.0,0.0
13,680,1200,1.0,2,9,3,48,0.0,0.9399,0.9974,0.8376
28,790,2000,1.0,4,10,2,45,0.0,-0.8395,0.0,0.0
20,820,1200,1.0,2,9,3,81,0.0,-0.923,-0.6705,-0.5994
